pattern,image_id,file_name,score,note,ir_tp,ir_fp,ir_fn,fusion_tp,fusion_fp,fusion_fn,num_gt
better_localization,190576,190576.jpg,4.19501591550584,Fusion improved IoU on 1 GT(s).,7,0,0,5,0,2,7
better_localization,230389,230389.jpg,4.191559172638978,Fusion improved IoU on 1 GT(s).,4,2,0,4,0,0,4
better_localization,230170,230170.jpg,4.185191135664843,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,230278,230278.jpg,4.184829258764846,Fusion improved IoU on 1 GT(s).,3,1,0,3,1,0,3
better_localization,240086,240086.jpg,4.163341792548746,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,210284,210284.jpg,4.15389805755703,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,190118,190118.jpg,4.153894015725506,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,210256,210256.jpg,4.151642768644442,Fusion improved IoU on 1 GT(s).,7,0,0,7,0,0,7
better_localization,230013,230013.jpg,4.148877399208446,Fusion improved IoU on 1 GT(s).,1,1,0,1,2,0,1
better_localization,220129,220129.jpg,4.130181089521285,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,240416,240416.jpg,4.128076506683261,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,190146,190146.jpg,4.125120906208381,Fusion improved IoU on 1 GT(s).,6,0,0,5,0,1,6
better_localization,190078,190078.jpg,4.099983829750366,Fusion improved IoU on 1 GT(s).,3,0,0,3,1,0,3
better_localization,240324,240324.jpg,4.09859521432294,Fusion improved IoU on 1 GT(s).,1,0,0,1,2,0,1
better_localization,230030,230030.jpg,4.096527926444929,Fusion improved IoU on 1 GT(s).,1,0,0,1,0,0,1
better_localization,230083,230083.jpg,4.090887031109599,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,230141,230141.jpg,4.085497825693452,Fusion improved IoU on 1 GT(s).,3,0,1,3,0,1,4
better_localization,230022,230022.jpg,4.083456213784083,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,190818,190818.jpg,4.077638837148022,Fusion improved IoU on 1 GT(s).,4,1,2,5,1,1,6
better_localization,230377,230377.jpg,4.07475589861319,Fusion improved IoU on 1 GT(s).,1,1,0,1,0,0,1
better_localization,190515,190515.jpg,4.074267392685629,Fusion improved IoU on 1 GT(s).,4,0,0,4,0,0,4
better_localization,210090,210090.jpg,4.068317017888345,Fusion improved IoU on 1 GT(s).,4,0,0,4,0,0,4
better_localization,260452,260452.jpg,4.067047906365896,Fusion improved IoU on 1 GT(s).,3,0,0,3,0,0,3
better_localization,220150,220150.jpg,4.054478230047473,Fusion improved IoU on 1 GT(s).,5,1,0,5,1,0,5
better_localization,200314,200314.jpg,4.050529391008972,Fusion improved IoU on 1 GT(s).,1,0,0,1,1,0,1
better_localization,220075,220075.jpg,4.0502357811064575,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,240211,240211.jpg,4.0495800311267525,Fusion improved IoU on 1 GT(s).,2,0,0,1,0,1,2
better_localization,230255,230255.jpg,4.038758527676133,Fusion improved IoU on 1 GT(s).,4,0,0,4,1,0,4
better_localization,230043,230043.jpg,4.0369447243072605,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,200313,200313.jpg,4.03678739123199,Fusion improved IoU on 1 GT(s).,2,0,0,2,2,0,2
better_localization,230455,230455.jpg,4.027126772028451,Fusion improved IoU on 1 GT(s).,4,0,0,4,0,0,4
better_localization,230438,230438.jpg,4.0254881729874015,Fusion improved IoU on 1 GT(s).,1,0,0,1,0,0,1
better_localization,230396,230396.jpg,4.0236808843435306,Fusion improved IoU on 1 GT(s).,2,0,0,2,0,0,2
better_localization,230246,230246.jpg,4.022461811958028,Fusion improved IoU on 1 GT(s).,1,0,0,1,0,0,1
